Species,Kratzer,Lippincott,Deng_Fan,Pseudo_Gaussian,Rydberg,Varshni,Morse,Valence_State,Rosen_Morse,Linnett,Poschl_Teller,Frost_Musulin,Levine,Wei_Hua,Tietz_I,Rafi,Noorizadeh,Tietz_II,Hulburt_Hirschfelder,Murrell_Sorbie,Sun
C2,1570000,3369000,226200,106200,143400,129200,167400,194600,122700,136700,111100,117300,15000,15080,292400,112500,88830,11600,14370,13470,3186
CF,890800,3028000,21690,83540,57850,65600,44650,4159,1310000,12510,21740,19070,3578,883,810,779,28510,6849,897,903,844
CH,164300,1797000,5895,13300,12550,3137,6891,2461,11720,3997,1411,727,653,605,8609,850,1305,861,608,610,606
CN,2497000,9361000,29370,17110,4624,5837,3248,35710,4559,18820,4361,6426,3346,3032,64900,3634,3130,2917,3240,3099,2856
CO,7735000,24470000,9777,208200,87820,102500,34770,52800,63940,5550,9716,3142,173100,26,70890,264500,17340,15,44,55,0.4
H2,1713000,5303000,1057000,29420,227100,277200,137700,623100,280000,721200,36880,102900,72280,59000,1102000,6851,13220,37390,2742,1169,622
HF,10430000,14640000,231400,450900,334400,102900,182500,949100,267300,217900,40070,43880,24360,68880,453300,83700,36040,48330,8964,3712,238
Li2,2250,30620,2254,498,262,1181,368,748,101,1337,491,557,2263,84,2246,1594,112,77,69,86,39
LiH,458000,1045000,96910,6557,16790,9631,12260,103400,18400,78900,10890,19790,1366,11110,113200,2087,4754,8031,2351,1958,556
N2,8378000,24700000,69000,69070,10200,19720,771,120700,9335,38520,2600,7317,59360,722,191900,21310,1088,561,723,714,258
N2+,7198000,15660000,91160,12120,8812,4396,26200,150800,7343,46750,22130,27970,4395,5425,235500,36390,4702,4839,4460,4752,4354
NO,13950000,20780000,130100,68030,12230,20590,30950,403900,12730,68490,34240,42830,9175,15480,595300,180700,8931,11880,9164,8143,3597
O2,3923000,9230000,1351,96950,39160,59380,18510,20530,20450,377500,847000,4156,1303,1179,18600,1474,15220,2083,170,171,48
OH,3131000,8689000,224400,68210,40760,26530,26320,260800,39240,177600,35060,52150,39340,26170,291800,64090,22280,21600,25060,23570,7972
Avg.,4431454,10150187,156893,87865,71140,59129,49467,208772,154844,136127,84121,32015,29251,14834,245818,55747,17533,11217,5204,4458,1798
